date,category,title,price
2021-08-05 15:27:25.139365,스킨케어,토리든 다이브인 저분자 히알루론산 세럼 5...,12850
2021-08-05 15:27:25.139365,스킨케어,닥터지 레드 블레미쉬 수딩 토너 400ml,10880
2021-08-05 15:27:25.139365,스킨케어,제로이드 수딩 크림 80ml,26990
2021-08-05 15:27:25.139365,스킨케어,인셀덤 더마 톨로지 EX 2종 세트,54970
2021-08-05 15:27:25.139365,스킨케어,라네즈 크림 스킨 150ml,14080
2021-08-05 15:27:25.139365,스킨케어,토니모리 원더 세라마이드 모찌 토너 500ml,6030
2021-08-05 15:27:25.139365,스킨케어,메디비 메디크림 플러스 20ml,12800
2021-08-05 15:27:25.139365,스킨케어,프리메라 오가니언스 워터 180ml,12870
2021-08-05 15:27:25.139365,스킨케어,라운드랩 1025 독도 토너 200ml,7710
2021-08-05 15:27:25.139365,스킨케어,닥터자르트 시카페어 카밍 젤 크림 80ml,15170
2021-08-05 15:27:25.139365,스킨케어,설화수 섬리안 크림 25ml,45000
2021-08-05 15:27:25.139365,스킨케어,프리메라 알파인 베리 워터리 크림 50ml,21190
2021-08-05 15:27:25.139365,스킨케어,이뽀케아 쥐젖제거 크림 18ml,15660
2021-08-05 15:27:25.139365,스킨케어,스킨푸드 캐롯 카로틴 카밍 워터 패드 250g...,15260
2021-08-05 15:27:25.139365,스킨케어,판타스킨 스팟 화이트닝 에센스 30g,19140
2021-08-05 15:27:25.139365,스킨케어,닥터자르트 시카페어 토너 150ml,7400
2021-08-05 15:27:25.139365,스킨케어,태극제약 TG 도미나스 크림 플러스 50g,22690
2021-08-05 15:27:25.139365,스킨케어,차앤박 프로폴리스 에너지 앰플 35ml,21660
2021-08-05 15:27:25.139365,스킨케어,닥터자르트 세라마이딘 크림 50ml,15950
2021-08-05 15:27:25.139365,스킨케어,에스티로더 어드밴스드 나이트 리페어 싱크...,96130
2021-08-05 15:27:25.139365,스킨케어,코스더블유 브라이트닝 울트라C 세럼 30ml,5990
2021-08-05 15:27:25.139365,스킨케어,AHC 유스래스팅 리얼 아이크림 포 페이스 1...,1750
2021-08-05 15:27:25.139365,스킨케어,MISSHA 비타씨플러스 잡티씨 탄력앰플 30ml,12390
2021-08-05 15:27:25.139365,스킨케어,비욘드 엔젤 아쿠아 수분 크림 150ml,6900
2021-08-05 15:27:25.139365,스킨케어,메디힐 캘러스 멀티 골드 리프팅 크림 50ml,22500
2021-08-05 15:27:25.139365,스킨케어,마몽드 로즈 워터 토너 500ml,11050
2021-08-05 15:27:25.139365,스킨케어,라운드랩 1025 독도 로션 200ml,10890
2021-08-05 15:27:25.139365,스킨케어,설화수 윤조 에센스 120ml,105800
2021-08-05 15:27:25.139365,스킨케어,제로이드 수딩 로션 200ml,29640
