date,category,title,price
2021-08-14 15:56:03.534969,스킨케어,아이오페 스템3 앰플 50ml,41660
2021-08-14 15:56:03.534969,스킨케어,에스트라 아토베리어 크림 100ml,21980
2021-08-14 15:56:03.534969,스킨케어,아누아 어성초 77 클리어 패드 70매,19220
2021-08-14 15:56:03.534969,스킨케어,아이오페 히아루로닉 크림 50ml,20990
2021-08-14 15:56:03.534969,스킨케어,아이오페 슈퍼 바이탈 소프너 150ml,30300
2021-08-14 15:56:03.534969,스킨케어,헤라 아쿠아볼릭 에센셜 2종 세트,40580
2021-08-14 15:56:03.534969,스킨케어,헤라 셀 에센스 바이옴 플러스 150ml,28040
2021-08-14 15:56:03.534969,스킨케어,제노덤 리제너 크림 50ml,40000
2021-08-14 15:56:03.534969,스킨케어,프리메라 오가니언스 워터 180ml,13120
2021-08-14 15:56:03.534969,스킨케어,센텔리안24 마데카 바이탈 캡슐 세럼 50ml,7000
2021-08-14 15:56:03.534969,스킨케어,AHC 유스래스팅 리얼 아이크림 포 페이스 1...,1730
2021-08-14 15:56:03.534969,스킨케어,한율 빨간쌀 진액 2종 세트,35060
2021-08-14 15:56:03.534969,스킨케어,이뽀케아 쥐젖제거 크림 18ml,15680
2021-08-14 15:56:03.534969,스킨케어,설화수 자음 유액 125ml,31000
2021-08-14 15:56:03.534969,스킨케어,제로이드 수딩 크림 80ml,26990
2021-08-14 15:56:03.534969,스킨케어,메디비 메디크림 플러스 20ml,12600
2021-08-14 15:56:03.534969,스킨케어,설화수 섬리안 크림 25ml,47040
2021-08-14 15:56:03.534969,스킨케어,메디비 메디 케어 앰플 20ml,12900
2021-08-14 15:56:03.534969,스킨케어,스킨푸드 캐롯 카로틴 카밍 워터 패드 250g...,16380
2021-08-14 15:56:03.534969,스킨케어,마몽드 로즈 워터 토너 500ml,11300
2021-08-14 15:56:03.534969,스킨케어,라운드랩 1025 독도 토너 200ml,7780
2021-08-14 15:56:03.534969,스킨케어,닥터자르트 시카페어 카밍 젤 크림 80ml,16130
2021-08-14 15:56:03.534969,스킨케어,라네즈 워터뱅크 하이드로 에센스 70ml,16410
2021-08-14 15:56:03.534969,스킨케어,닥터자르트 세라마이딘 크림 50ml,18220
2021-08-14 15:56:03.534969,스킨케어,피지오겔 데일리 모이스쳐 테라피 페이셜 크...,10470
2021-08-14 15:56:03.534969,스킨케어,에스트라 아토베리어365 크림 80ml,20160
2021-08-14 15:56:03.534969,스킨케어,차앤박 프로폴리스 에너지 앰플 35ml,20480
2021-08-14 15:56:03.534969,스킨케어,제로이드 수딩 로션 200ml,29980
2021-08-14 15:56:03.534969,스킨케어,비욘드 엔젤 아쿠아 수분 크림 150ml,6990
2021-08-14 15:56:03.534969,스킨케어,인셀덤 엑티브 크림 50ml,40640
2021-08-14 15:56:03.534969,스킨케어,싸이닉 더 심플 데일리 로션 260ml,7150
2021-08-14 15:56:03.534969,스킨케어,청미정 선인장 앰플 50ml,35000
2021-08-14 15:56:03.534969,스킨케어,설화수 윤조 에센스 120ml,106500
2021-08-14 15:56:03.534969,베이스메이크업,헤라 블랙 쿠션 15g(SPF34),12790
2021-08-14 15:56:03.534969,베이스메이크업,라네즈 네오 쿠션 매트 15g(SPF42),12990
2021-08-14 15:56:03.534969,베이스메이크업,에스티로더 더블 웨어 파운데이션 30ml(SPF...,39360
2021-08-14 15:56:03.534969,베이스메이크업,입생로랑 엉크르 드 뽀 쿠션 14g,38830
2021-08-14 15:56:03.534969,베이스메이크업,헤라 블랙 파운데이션 35ml(SPF15),27780
2021-08-14 15:56:03.534969,베이스메이크업,루이앤레이 워터커버 핀라이트 쿠션 12g(SP...,24900
2021-08-14 15:56:03.534969,베이스메이크업,정샘물 에센셜 스킨 누더 쿠션 14g,8340
2021-08-14 15:56:03.534969,베이스메이크업,설화수 퍼펙팅 쿠션 EX 15g(SPF50+),14820
2021-08-14 15:56:03.534969,베이스메이크업,강블리 동백 촉촉 쿠션 14g(SPF50+),5500
2021-08-14 15:56:03.534969,베이스메이크업,헤라 UV 미스트 쿠션 커버 15g(SPF50+),10010
2021-08-14 15:56:03.534969,베이스메이크업,더샘 커버 퍼펙션 팁 컨실러 6.5g  (SPF28),1800
2021-08-14 15:56:03.534969,베이스메이크업,클리오 킬 커버 파운 웨어 쿠션 올 뉴 15g(...,9000
2021-08-14 15:56:03.534969,베이스메이크업,이니스프리 노세범 미네랄 파우더 5g,3450
2021-08-14 15:56:03.534969,베이스메이크업,강블리 동백 커버 컨실러 7ml,3300
2021-08-14 15:56:03.534969,베이스메이크업,헤라 글로우 래스팅 파운데이션 35ml(SPF25...,20600
2021-08-14 15:56:03.534969,베이스메이크업,이니스프리 노세범 파우더 쿠션 14g(SPF35),9000
2021-08-14 15:56:03.534969,베이스메이크업,에스쁘아 프로 테일러 비글로우 쿠션 13g(S...,7700
2021-08-14 15:56:03.534969,베이스메이크업,지엘리 트루프 쿠션 마스크 프루프 15g,7950
2021-08-14 15:56:03.534969,베이스메이크업,에뛰드 더블 래스팅 파운데이션 30g(SPF35),5680
2021-08-14 15:56:03.534969,베이스메이크업,헤라 글로우 래스팅 쿠션 15g(SPF50+),11200
2021-08-14 15:56:03.534969,베이스메이크업,클리오 킬커버 광채쿠션 (SPF50+),6900
2021-08-14 15:56:03.534969,베이스메이크업,라네즈 네오 쿠션 글로우 15g(SPF50+),12850
2021-08-14 15:56:03.534969,베이스메이크업,클리오 킬 커버 픽서 쿠션 15g(SPF50+),8880
2021-08-14 15:56:03.534969,베이스메이크업,나스 아쿠아 글로우 쿠션 파운데이션 12g(S...,25790
2021-08-14 15:56:03.534969,베이스메이크업,자빈드서울 윙크 파운데이션 팩트 15g(SPF5...,12960
2021-08-14 15:56:03.534969,베이스메이크업,에이지투웨니스 에센스 커버 팩트,6770
2021-08-14 15:56:03.534969,베이스메이크업,에스티로더 더블 웨어 스테이 인 플레이스 ...,43410
2021-08-14 15:56:03.534969,베이스메이크업,헤라 HD 퍼펙트 파우더 팩트 10g (SPF30),22800
2021-08-14 15:56:03.534969,베이스메이크업,엘로엘 블랑커버 크림 멜라스틱 MX 11g(SPF...,16900
2021-08-14 15:56:03.534969,베이스메이크업,클리오 더블 커버킬 마그넷 팩트 17g(SPF50...,10900
2021-08-14 15:56:03.534969,베이스메이크업,나스 퓨어 래디언트 프로텍션 아쿠아 글로우...,32120
2021-08-14 15:56:03.534969,베이스메이크업,이니스프리 노세범 미네랄 팩트 8.5g,5270
2021-08-14 15:56:03.534969,베이스메이크업,설화수 자정 브라이트닝 쿠션 14g,15410
2021-08-14 15:56:03.534969,베이스메이크업,메이크업포에버 ULTRA HD 프레스드 파우더 ...,33200
2021-08-14 15:56:03.534969,베이스메이크업,"설화수 퍼펙팅 트윈케이크 11g(지성, 복합,...",26110
2021-08-14 15:56:03.534969,베이스메이크업,랑콤 뗑 이돌 롱라스팅 파운데이션 30ml(SP...,50500
2021-08-14 15:56:03.534969,베이스메이크업,라네즈 네오 파운데이션 매트 30ml(SPF16),25700
2021-08-14 15:56:03.534969,베이스메이크업,디올 포에버 퍼펙트 쿠션 14g (SPF35),38400
2021-08-14 15:56:03.534969,베이스메이크업,헤라 매직 스타터 35ml(SPF25),20250
2021-08-14 15:56:03.534969,베이스메이크업,MISSHA 초보양 비비크림 50ml (SPF30),9810
2021-08-14 15:56:03.534969,베이스메이크업,조성아뷰티 슈퍼 핏 필업 스틱 파운데이션 ...,5780
2021-08-14 15:56:03.534969,베이스메이크업,설화수 퍼펙팅 파운데이션 35ml(SPF17),34100
