대분류,소분류,cate_url_middle
향수,남녀공용향수,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000314
향수,향수세트,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000315
바디케어,바디크림,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000281
바디케어,바디오일,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000282
바디케어,바디미스트,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000283
바디케어,바디클렌저,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000285
바디케어,바디스크럽,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000286
바디케어,여성청결제,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000287
바디케어,목욕비누,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000288
바디케어,핸드케어,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000289
바디케어,풋케어,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000290
바디케어,입욕제,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000291
바디케어,아로마테라피,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000292
바디케어,데오드란트,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000293
바디케어,제모제,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000294
바디케어,바디슬리밍,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000295
바디케어,바디케어세트,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000296
바디케어,바디로션,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000408
바디케어,샤워코롱,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50005287
헤어케어,샴푸,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000297
헤어케어,린스,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000298
헤어케어,트리트먼트,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000299
헤어케어,헤어에센스,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000300
헤어케어,헤어팩,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000301
헤어케어,헤어미스트,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000302
헤어케어,두피케어,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000303
헤어케어,탈모케어,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000304
헤어케어,헤어케어세트,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000305
헤어스타일링,헤어왁스,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000306
헤어스타일링,헤어스프레이,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000307
헤어스타일링,헤어무스,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000308
헤어스타일링,헤어젤,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000309
헤어스타일링,헤어글레이즈,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000310
헤어스타일링,염색약,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000311
헤어스타일링,파마약,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50001372
네일케어,매니큐어,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000402
네일케어,네일아트,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000403
네일케어,네일영양제,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000404
네일케어,네일리무버,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000405
네일케어,네일케어도구,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000406
네일케어,네일케어세트,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000407
뷰티소품,아이소품,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50001373
뷰티소품,페이스소품,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50001374
뷰티소품,헤어소품,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50001375
뷰티소품,메이크업브러시,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50001376
뷰티소품,타투,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000317
뷰티소품,화장품케이스,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000319
뷰티소품,DIY화장품재료,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50005289
